<<<<<<< HEAD
编号,名称,主,副,组别,魔力值,精力,物攻,防御,魔攻,魔抗,速度,总和,简介
15,烈火飞龙,火,翼,天空组,0,78,84,78,109,85,100,534,飞翔在天空中的火焰巨龙，口中可以喷出灼热的火焰，融化最坚强的敌人的斗志。
16,板板壳,水,无,未发现组,0,44,48,65,50,64,43,314,绿叶样子的尾巴，总是一副凶巴巴的表情，其实内心很善良。
17,咔咔壳,水,无,未发现组,0,59,63,80,65,80,58,405,头上的触角可以感受水中细微的变化，尾巴很长很长，可以帮助它快速的游泳。
18,水泡壳,水,无,未发现组,0,79,83,100,85,105,78,530,背上可以生出泡泡，泡泡的多少代表它的心情，它坚硬的壳同样也是它进攻的武器。
19,毛毛,虫,无,未发现组,0,45,42,35,50,40,35,247,柔软的毛毛虫，喜欢在树叶上爬来爬去。
20,爬爬,虫,无,未发现组,0,50,50,55,63,55,45,318,身上有一层坚固的鳞甲保护着。可以反射阳光成七彩色，以保护自己不被发现。
21,化蝶,虫,翼,未发现组,0,90,86,75,100,80,70,501,拥有美丽的翅膀，翅膀上的磷粉可以反射出美丽的光芒。
22,卷尾虫,虫,毒,未发现组,0,40,45,40,35,40,70,270,卷曲的尾巴，具有强大的爆发力，为了保护自己，会在攻击时放出毒素。
23,独角虫,虫,毒,未发现组,0,65,60,70,49,70,95,409,尾巴和头上都有一个毒针，可以随时随地的释放极强的毒素，很多宠物都非常怕他。
24,紫雾虫,虫,毒,未发现组,0,90,75,90,60,93,115,523,没有特别强大的攻击力，但是非常善于使用毒术，自己美丽柔弱的外貌让他轻松下毒。
25,咔咔羽毛,普通,翼,天空组,0,40,45,40,35,35,56,251,长着一条美丽的大尾巴的小鸟，正在学习飞翔，给它加油。
26,咔咔雀,普通,翼,天空组,0,63,60,55,50,50,71,349,可以发出“咔咔”的欢乐的声音，拥有一对神奇的的角。
27,咔咔鸟,普通,翼,天空组,0,83,80,75,70,70,91,469,两条华丽的大尾巴，不要轻视它的翅膀，它喜欢在蔚蓝的天空中翱翔。
28,地鼠,土,无,乖乖组,0,50,75,85,20,30,40,300,拥有着坚固的外壳，但腹部是它的弱点。和它战斗时要注意哦。
29,遁鼠,土,无,乖乖组,0,75,100,110,45,55,65,450,拥有着锋利的爪子，可以以惊人的速度在沙漠里飞奔。
30,多多,毒,无,未发现组,0,55,47,52,40,40,41,275,性情温顺，但不要惹火它，它头上的 小角可以分泌毒液，发起还击。
31,多啦多,毒,无,未发现组,0,70,62,67,55,55,56,365,有剧毒的宠物，挨着它都有可能中毒。
32,古啦多,毒,土,未发现组,0,90,82,87,75,85,76,495,拥有蛮力的宠物，无论什么攻击都不会低头，奋勇的冲上去。
33,路路,毒,无,未发现组,0,46,57,40,40,40,50,273,有一双听力极好的耳朵，可以远远的感觉到危险。
34,路路尼,毒,无,未发现组,0,61,72,57,55,55,65,365,头上的角是带毒的，见到要小心。
35,古路尼,毒,土,未发现组,0,81,92,77,85,75,85,495,凶猛的家伙，攻击时毫不留情，相信它的敌人都是很痛苦的。
36,超音蝠,毒,翼,天空组,0,40,45,35,30,40,55,245,超声波是怎么用的呢，看看这个家伙你就明白了。
37,扁嘴蝠,毒,翼,天空组,0,75,80,70,65,75,90,455,可怕的吸血鬼，据说在特别的日子能力会变的更加惊人。
38,武斗酷猫,草,无,未发现组,0,111,105,105,145,130,104,700,不管有没有人在意，不管有没有人喜欢，他做了一个决定，他要减肥，他也的确这样做了。
39,格兰酋长,草,无,未发现组,0,118,85,108,105,118,115,649,希望在金色的秋天可以收获果实，希望在明年一样会开出绚丽的花朵。
40,护主犬,火,无,守护组,0,55,70,45,70,50,60,350,拥有超强的胆魄，嗅觉及其灵敏，对任何强大的敌人都敢于面对。
41,音速犬,火,无,守护组,0,90,110,80,100,80,95,555,威风凛凛的毛发任何时候都那样威严，它奔跑起来姿态优雅，让人想起古代的武士。
42,牵线木偶,机械,无,未发现组,0,48,54,73,43,45,45,308,没有灵魂，没有思想，没有感情，我是一只无人问津的小木偶。
43,混乱木偶,机械,无,未发现组,0,70,77,90,60,63,62,422,渴望感情，希望能主宰自己的人生，想要过属于自己的生活。
44,木偶帅帅,机械,无,未发现组,0,90,98,110,83,85,82,548,衣着光鲜的外表，却隐藏不住他没有灵魂的悲伤，一个木偶，一场戏。
45,翡翠水母,水,毒,未发现组,0,40,40,35,50,100,70,335,透明身体的宠物，离开水后很容易被晒干，要及时把它送回水里还有救哦。
46,琉璃水母,水,毒,未发现组,0,80,70,65,80,120,100,515,拥有长长触角的水系宠物，触角是它的武器，可以在诡异的闪现在你的身后哦。
47,小布石,石,土,大地组,0,40,80,100,30,30,20,300,可以发动高速旋转的岩石宠物，别小看它的小个子，它是很坚硬的小宠物哦。
48,布莱石,石,土,大地组,0,55,95,115,45,45,35,390,头上的红宝石可以发出奇异的光线，坚强的岩石宠物。
49,布莱克岩,石,土,大地组,0,80,110,130,55,65,45,485,拥有加固面具的岩石宠物，山坡上的沟道是他们的专用通道哦。
50,电圈怪,电,机械,未发现组,0,25,35,70,95,55,45,325,有着正负级的小怪物，拥有电和磁的双重能力。很神奇的小家伙哦。
51,电网怪,电,机械,未发现组,0,50,60,95,120,70,70,465,并肩作战的三兄弟，哦哈哈天下无敌的三兄弟。
52,生命蓝灵,水,无,未发现组,0,60,58,62,44,45,70,339,一生寻求生命的真谛所在，当生命走到尽头的时候，才发现，那根本不存在。
53,鬼雾,幽灵,毒,未发现组,0,30,35,30,100,35,80,310,一团气体毒雾，颜色越深毒性越强哦。
54,邪雾,幽灵,毒,未发现组,0,45,50,45,115,55,95,405,有着恐怖形态的宠物，拥有着可怕的毒气，可以笼罩一切敢于和它敌对的宠物。
55,灵雾,幽灵,毒,未发现组,0,60,65,60,130,75,110,500,有着尖锐牙齿和爪子的恐怖毒气宠物，可以进行实体化攻击，拥有可怕的威力哦。
56,闪电球,电,无,未发现组,0,40,30,50,55,55,100,330,三个相互放电的云，在你经过的时候小心被电到哦。
57,霹雳球,电,无,未发现组,0,60,50,70,80,80,140,480,可怕的乌云，不停的发出霹雳啪啦的声音，胆小的家伙甚至会吓哭哦。
58,蒲公英,草,萌,植物组,0,60,40,80,60,45,40,325,可爱的三个小家伙，喜欢在美丽的花海里飞来飞去。
59,大蒲公英,草,萌,植物组,0,95,95,85,125,65,55,520,要一起行动的小家伙，头上的叶子是他们飞行的动力哦。
60,巨牙猛犸象,草,无,未发现组,0,115,98,105,104,96,99,617,勇者无所畏惧，勇者也有回忆，希望不要再长眠于此。
61,上古猛犸象,草,无,未发现组,0,130,120,108,113,105,103,679,猛犸象的勇猛是拿来主义，勇猛的让人的心灵感到颤抖。
62,格斗小八,武,无,未发现组,0,35,35,35,35,35,35,210,擅长格斗的小家伙，有一个很酷的帽子。
63,阿蒙哞哞,萌,无,未发现组,0,71,72,52,50,47,48,340,滑稽的是我的外貌，每个宠物都有不同的样子，但是你不能否认我内心是严肃的，好吧，我在开玩笑。
64,滑轮哞哞,萌,无,未发现组,0,88,92,74,68,67,68,457,脚踩上轮子那一刻，你才能体会到，这与众不同的，久久不能忘记的，屁股的疼痛。
65,滑稽哞哞,萌,无,未发现组,0,110,113,96,87,85,85,576,其实我并不单单长了这么庞大的一个身躯，更重要的是，我长了数不清的牛毛。
66,蜗石贝,石,水,未发现组,0,35,40,100,90,55,35,355,总是藏在巨大的贝壳里，永远只是把眼睛露出来，就这样偷偷的注视着外面的世界。
67,刺蜗贝,石,水,未发现组,0,70,60,125,115,70,55,495,贝壳上长满了刺，嘴里的四颗大牙齿也不容小觑，喜欢将触角伸出贝壳吓唬身边的宠物。
68,卡布托,石,水,未发现组,0,30,80,90,55,45,55,355,巨大的头盔几乎把整个身体都遮盖，盔甲上的复眼也总是让人迷惑。
69,迷你利乌,龙,无,乖乖组,0,41,64,45,50,50,50,300,虽然小，虽然没有四肢，虽然看起来完全无害，但是不要小看他的威力哦。
70,奇丽草,草,无,植物组,0,45,49,65,49,65,45,318,头上有一朵漂亮的的花儿，脖子上有一圈可爱的小芽，是非常可爱的宠物。
71,奇丽叶,草,无,植物组,0,60,62,80,63,80,60,405,头上巨大的花儿是它的武器，不要轻视它的能力。
72,奇丽花,草,无,植物组,0,80,82,100,83,100,80,525,头顶的触角可以飞快的旋转，拥有着极其强大的攻击力量。
73,幽灵酷少,幽灵,无,未发现组,0,50,61,46,79,48,52,336,幽灵名门中的后裔，小时候就像一颗明星，但是自己从来不会骄傲，非常喜欢帮助其他宠物。
74,幽灵少主,幽灵,无,未发现组,0,70,82,64,98,65,72,451,快乐的童年养成了他善良的性格，一副菩萨心肠，让所有人都对他敬爱有加。
75,蓝焰幽灵主,幽灵,无,未发现组,0,88,105,82,120,87,95,577,慢慢的成长，当年的小顽童如今也是一方霸主，在他的治理下，宠物们都能安居乐业呢。
76,羊角恶魔,恶魔,无,未发现组,0,48,54,63,66,56,53,340,无论走到哪里，手里总是抱着一个白色的布娃娃，那是他心爱的宝贝。
77,红发恶魔,恶魔,无,未发现组,0,70,71,82,84,76,72,455,虽然是个恶魔，但是依然很酷，很迷人，还有一个拉风的布娃娃。
78,小恶魔洛基,恶魔,无,未发现组,0,90,90,100,105,98,92,575,恶魔家族的骄傲，一头的红发像火焰一样燃烧，充满了烈火般的力量。
79,圆眼蜘蛛,虫,毒,未发现组,0,40,60,40,40,40,30,250,丝线具有多用途，筑巢，与其它宠物对战，而且，据说还是美容圣品。
80,尖角蜘蛛,虫,毒,未发现组,0,70,90,70,60,60,40,390,晚上就会活跃的宠物，离开巢穴会吐出一条丝，防止自己迷路。
81,双灯鱼,水,电,未发现组,0,75,38,38,56,56,67,330,左边是正极，右边是负极，为什么两边的灯不会吸到一起，那是个等待解决的谜题。
82,利灯鱼,水,电,未发现组,0,125,58,58,76,76,67,460,深海中也会闪闪发亮，无法忽视它的存在。不同于宝石的光芒，是自己的生命萤光。
83,粉粉星,电,无,未发现组,0,50,53,44,45,55,60,307,粉粉的星星喜欢聚集在一起跳舞，棱角也一点都不可怕。
84,小皮球,电,无,未发现组,0,90,88,68,110,70,92,518,那副漂亮的眼镜让它显得很酷，它喜欢酷，喜欢大家赞赏它。
85,铁皮羊,机械,无,未发现组,0,66,72,75,50,52,55,370,嘴巴挑剔得很，只爱吃嫩芽，整天弹来弹去，看起来很不安分。
86,羊羔战士,机械,无,未发现组,0,98,90,100,80,81,78,527,整天一幅看透世事的样子，其实预言准确不准确也不太有人知道，但他还是一如既往地预测将要到来的危险。
87,电咩咩,电,无,未发现组,0,55,40,40,65,45,35,280,看起来很温顺，样子也很可爱，不喜欢人摸它，满身都有电的哦，一摸就会被电到。
88,粉咩咩,电,无,未发现组,0,70,55,55,80,60,45,365,身体粉粉嫩嫩，有流星般的速度，发动攻击毫不留情，可能发怒的时候可以发更多的电。
89,格兰种子,草,翼,植物组,0,35,35,40,35,35,50,230,顶部有蕨类状触手，个性比较敏感。到危机时才释放出最大能量，喜欢成群结队的活动。
90,格兰花,草,翼,植物组,0,55,45,50,45,65,80,340,它是种许愿宠物，比较害羞怕生，对主人绝对的忠心，他的花苞合上，给你带来惊喜哦。
91,格兰球,草,翼,植物组,3,75,55,70,55,85,110,450,在进化时四肢逐渐退化了，主要是依赖风或者借助别的宠物行动，勤劳而繁忙的播种家。
92,梦游,幽灵,无,未发现组,0,60,60,60,85,85,85,435,一睡着就会梦游，没有固定住处。它们喜欢恶作剧，其实它们也不知道睡着后做了什么。
93,小帕尔萨斯,恶魔,无,守护组,0,70,70,70,70,70,70,420,没有记忆，没有过去，一切的开始都是在那个冬天的威廉古堡密室，那一天我知道我叫做帕尔萨斯。
94,格格布,冰,无,不死组,0,60,80,50,40,40,30,300,可怕的外表常常让人产生误会，其实它非常容易接近，脾气很好。
95,格布布,冰,无,不死组,2,90,120,75,80,60,55,480,利用锋利的獠牙保护自己，喜欢和同伴在一起，性格很好哦。
96,呼呼猪,冰,土,动物组,0,50,50,40,30,30,50,250,小小的眼睛，蓝蓝的皮肤，憨憨厚厚的小家伙，有着非凡的速度哦。
97,獠牙猪,冰,土,动物组,0,100,100,80,60,60,50,450,头上有这一缕帅气的鬃毛，攻击时有着闪电般的速度。看到没，它的尾巴在随风飘摆哦。
98,袜兜兜,萌,无,未发现组,0,70,75,60,70,61,62,398,最爱平安夜的夜晚，那一夜他就是整个王国中最幸福的宠物，拥抱着心爱的礼物进入梦乡。
99,阿米亚特,石,土,大地组,0,50,64,50,45,50,41,300,一只眼睛却戴着一副眼镜，攻击的时候样子特别的凶，其实性格还是很好的哦。
100,阿米樱,石,土,大地组,0,70,84,70,65,70,51,410,强健的身姿象征着力量，平时很不起眼，但是一旦把他吵醒，他的样子绝对会吓到你。
101,罗隐,石,恶魔,大地组,0,100,134,110,95,100,61,600,勇往直前破坏一切，撞上钢铁块也不会受伤，但过一天则有可能隐隐作痛。
102,丢丢,草,无,未发现组,0,40,45,35,65,55,70,310,圆圆身体上的小刺，让你不敢轻视它，而且小刺的危险只有和它战斗过的家伙才知道。
103,卡卡虫,草,无,未发现组,0,50,65,45,85,65,95,405,眼睛总是一转一转的，只有当它用心攻击的时候才能看一个方向。
104,卡瓦重,草,无,未发现组,3,70,85,65,105,85,120,530,手里那对武器有着神秘的历史，只有它自己知道哦。
105,可立鸡,火,无,动物组,0,45,60,40,70,50,45,310,红红的火焰鸡冠，证明了它的实力，别招惹它哦。
106,晕晕鸡,火,武,动物组,0,60,85,60,85,60,55,405,始终要保持绅士风度的家伙，哪怕战斗时也是一样，真的着急了会召唤火焰。
107,眩目鸡,火,武,动物组,0,80,120,70,110,70,80,530,指挥家的风范，指挥家的气度，无论战斗还是休息都要一身整齐的燕尾服。
108,大尾鱼,水,无,未发现组,0,50,70,50,50,50,40,310,巨大的尾巴是它的特质，它坚信，巨大的尾巴可以加速它游泳的速度。
109,黑当鱼,水,土,未发现组,0,70,85,70,60,70,50,405,无论各种水域都能自由行动，这份能力是它刻苦练习得来的。
110,极地小熊,冰,无,未发现组,0,50,55,56,49,56,48,314,喜欢寒冷的冬天，雪花捧在手里，美美的。
111,白发懒人,普通,无,未发现组,0,60,60,60,35,35,30,280,你见到它时如果它醒着的，那你太幸运了。天天都在睡觉的家伙。
112,动力猿,普通,无,未发现组,0,80,80,80,55,55,90,440,充满活力的大猿猴，从来的都不知道疲倦，动力无限，激情无限。
113,瞌睡王,普通,无,未发现组,4,150,160,100,95,65,100,670,什么时候你见到它它都在打瞌睡，哪怕战斗时也会是一样。
114,迷迷眼,恶魔,幽灵,不死组,0,50,75,75,65,65,50,380,有一双迷人的双眼，让人第一眼见到就情不自禁被它迷住。
115,多西,机械,石,未发现组,0,50,70,90,40,40,30,320,看起来柔弱娇小，全身却硬如钢铁，如果你跟它正面碰撞，会发现这是一件很愚蠢的事。
116,库多西,机械,石,未发现组,0,60,90,130,50,60,40,430,用硬石和钢铁打造，以石头和水中所含铁离子的东西为食。
117,波多西,机械,石,未发现组,0,80,110,170,60,80,50,550,对破坏其生活环境的人会毫不留情地反击，并且经常种树苗美化自己的领土。
118,呆火鸟,火,土,天空组,0,60,60,40,65,45,35,305,迟钝到挨打也不会察觉，却不能忍受饥饿。身体内有沸腾的岩浆，被水泡到会冷却下来。
119,喷火鸟,火,土,天空组,0,70,100,70,105,75,40,460,身体里面拥有巨大的火系魔法，火焰常伴它周围，华丽的攻击会让你爱上它的
120,白眉小猿,武,无,未发现组,0,50,47,45,45,36,49,272,白色的眉毛让小小的他看上去像是一个小老头，但是无辜的眼神又让人怜爱。
121,白眉功夫猿,武,无,未发现组,0,73,70,67,65,59,70,404,软绵绵的身体非常像是一个沙袋，非常适合用来练习拳击。
122,白眉武生猿,武,土,未发现组,0,92,92,90,86,81,87,528,打架的功夫非常了得，而且最爱打抱不平，瘦小的宠物们非常喜欢他。
123,幸运熊,萌,无,未发现组,0,64,58,62,53,49,55,341,具有强大的祝福力量，据说当过它主人的小洛克都实现了自己的梦想。
124,暗夜骷颅,幽灵,无,未发现组,0,20,40,90,30,90,25,295,总是在阴暗的地方悄悄出现，恐怖的样子常常会让你吓一跳。
125,夜巨魔,幽灵,无,未发现组,0,40,70,130,60,130,25,455,藏着一把神秘的死神镰刀，镰刀攻击时会有着惊天动地的效果。
126,自由黄灵,翼,无,未发现组,0,55,58,49,62,58,60,342,自由是蓝天，任我翱翔；自由是空气，无处不在；自由是翅膀，承托梦想。
127,雪娃娃,冰,无,精灵组,0,50,50,50,50,50,50,300,每一个雪人都有自己的灵魂，这个家伙就是最好的例证。看到它晶莹的耳饰了吗？
128,冰封怨灵,冰,无,精灵组,0,80,80,80,80,80,80,480,远远看去就像是一个大冰块，但操纵暴风雪的时候可一点不显笨拙。
129,雪精灵,冰,幽灵,精灵组,0,140,95,70,110,70,90,575,藏在雪山深处，使用摄人心魄的美丽迷惑探险者跌入悬崖。极度的低温是它的秘密武器。
130,雪豹球,冰,水,未发现组,0,70,40,50,25,50,55,290,喜欢有规律的滚动，走散了会拍掌呼唤同伴。
131,海巫狮,冰,水,未发现组,0,90,60,70,75,70,45,410,睡觉的时候声音很大，海面会涌起巨浪。要是它愤怒了一定要远离它所在的海域哦。
132,帝王雪狮,冰,水,未发现组,0,110,80,90,95,90,65,530,发达的两根牙齿可以一击粉碎极重的冰山，结实的脂肪在极其寒冷的环境也不怕。
133,小鼠獭,普通,无,动物组,0,59,45,40,35,40,31,250,两颗巨大的门牙不停地长大，为了保持牙齿的长度它要不停的用各种东西磨短这对大牙。
134,大鼠獭,普通,水,动物组,0,79,85,60,55,60,71,410,勤劳勇敢的家伙，平时喜欢建筑自己的小家，一流的建筑专家。
135,小星光,电,无,未发现组,0,45,65,34,40,34,45,263,可爱的小斗士，金黄色的毛发是他的骄傲！
136,星光狮,电,无,未发现组,0,60,85,49,60,49,60,363,动作快如闪电，用速度战胜敌人！
137,迪莫,光,无,未发现组,2,90,102,86,120,92,92,582,这是关于勇气的故事，他很脆弱却也不曾退缩；这是关于梦想的故事，梦很简单却也执着。这就是我，迪莫。
138,独角龙,石,无,力量组,0,67,125,40,30,30,58,350,在古老的森林出现的小宠物，它们家族的历史可以追溯到很久很久以前。
139,暴角龙,石,无,力量组,0,97,165,60,65,50,58,495,暴躁的脾气很难让大家认可，一发脾气周围的植物就遭殃了。
140,小草虫,虫,无,未发现组,0,40,29,45,29,45,36,224,小草叶子牢牢的包裹住自己。时常出现在草丛中，很难找到它们的行踪。
141,草衣虫,虫,草,未发现组,0,60,59,85,79,105,36,424,绿绿的叶子和身体融合起来，可爱美丽。
142,魔果多多,萌,无,未发现组,0,70,64,50,54,50,66,354,一脸甜蜜的样子，非常喜欢跟其他宠物一起玩，大家都亲切的称呼他为小甜甜。
143,小黄蜂,虫,翼,未发现组,0,30,30,42,30,42,70,244,十分恋家的小家伙们，它们认为有家的地方才最安全。
144,黄蜂后,虫,翼,未发现组,0,70,80,102,80,102,40,474,迷人的披风，优雅的王冠，象征着它的权威，蜂中女王。
145,海豚乐乐,水,无,未发现组,0,78,65,68,66,72,69,418,海豚看到的星星总是那么闪亮，海豚看到的海洋总是那么蓝，因为他总是那么单纯。
146,海豚族长,水,无,未发现组,0,108,112,95,95,98,110,618,他喜欢大风大浪，他喜欢漩涡洋流，他喜欢冒险，喜欢探索，他想要不平凡的一生。
147,小雪人,草,冰,未发现组,0,60,62,50,62,60,40,334,在雪山上生活的雪人，比较友善，时常会和人类接触。
148,雪怪,草,冰,未发现组,0,90,92,75,92,85,60,494,生活在雪山里的巨人，脾气爆燥，所以他们时常在雪山中制造出大风雪，威力巨大。
149,小蜂猴,萌,无,未发现组,0,38,45,42,53,43,41,262,身材非常小，很不容易发现他，而且非常活泼，喜欢到处乱跑。
150,跳跳蜂猴,萌,无,未发现组,0,59,64,61,71,65,58,378,喜欢啃东西，用小小的牙齿把食物咬的粉碎，然后慢慢的吞下去。
151,卷尾蜂猴,萌,无,未发现组,0,80,82,83,88,86,80,499,长长的尾巴，让他可以把自己吊在树上，然后荡来荡去的玩耍。
152,拉特,电,无,精灵组,0,70,63,70,95,70,75,443,小时候很喜欢帮助其他宠物，而且长了一副明星脸，走的哪里都很拉风。
153,酷拉,电,无,精灵组,4.5,90,82,93,135,105,95,600,一副酷酷的样子，谁见了都会喜欢，而且他还很厉害呢，实力派加偶像派的经典代表。
154,木豆丁,草,无,未发现组,0,52,49,50,61,51,47,310,拥有着紧急之门的封印之匙，只有木藤藤和族长知道这个秘密。
155,木藤藤,草,无,未发现组,0,69,70,70,81,74,69,433,保护永夜森林是他最大的使命，爱绿色爱清泉更爱美丽的永夜森林。
156,阿木木,草,无,未发现组,4,90,88,87,110,91,88,554,他的好只有共同战斗过的伙伴才会明了，在战斗中是你值得信赖的好伙伴。
157,乖乖狼,武,无,未发现组,0,49,71,62,51,43,52,328,非常讨厌一个叫做“狈”的宠物，因为人们都说狼狈为奸，真讨厌，要是没有“狈”就好了。
158,小帅狼,武,无,未发现组,0,71,92,81,70,65,75,454,非常讨厌格里芬的成语词典，因为他偷偷看了一遍，所有跟自己有关的成语，没有一个好听的。
159,冷月狼,武,无,未发现组,0,89,110,100,88,85,92,564,伤心的小狼，你能帮他想一个好的成语么？拜托你了，善良的小洛克。
160,冰原剑,冰,无,未发现组,0,45,51,80,40,56,47,319,茫茫的冰原，晨光中的雾气让世界都变得灰蒙蒙，偶尔看到有耀眼的光芒闪过，没错那就是我。
161,寒冰剑,冰,无,未发现组,0,64,74,102,60,73,66,439,我原以为自己常年于冰中，早已心如止水，当我看到那场面的时候，竟然不自主的颤抖了，太恐怖了。
162,寒翼剑,冰,无,未发现组,0,83,95,120,82,90,88,558,天性好动，充满灵性，遇到合适的人，剑翼会发出悦耳的鸣声，很多人梦寐以求的极品。
163,斑斑猫,普通,无,未发现组,0,81,43,42,52,52,41,311,他眼睛上的圆圈，并不是胎记呢，只是经常偷吃食物，偷吃的技术也不好，所有就现在这个样子了。
164,大嘴猫,普通,无,未发现组,0,103,66,59,71,71,63,433,嘴巴太小，影响吃美味的速度，这怎么能行，干脆找大魔法师把嘴巴变成一条拉链，这下方便多了。
165,贪吃猫,普通,无,未发现组,0,120,88,80,92,88,86,554,最爱吃的食物是火鸡腿，做人也像它，两头尖中间粗，一口一个也毫不含糊。
166,草头大眼鸭,水,无,动物组,0,50,52,48,75,60,65,350,国王最信赖的宠物，因为他很傻，什么都不懂，有时候还傻傻的认为自己就是国王。
167,刺头哭眼鸭,水,无,动物组,0,90,92,85,105,80,90,542,虽然很傻，但是很喜欢思考，思考问题的时候眼睛都会不停的转动。
168,小海豹,水,无,未发现组,0,65,45,55,45,70,45,325,喜欢爬来爬去小家伙，有两颗可爱的小牙，它喜欢海的气息，海还不怕冷哦。
169,白海豹,水,冰,未发现组,0,90,70,80,70,95,70,475,有着尖牙的白色海洋宠物，没事就一副笑呵呵的表情，很爱干净哦。
170,绿耳松鼠,普通,无,未发现组,0,67,71,67,66,63,61,395,有着蓬松的大尾巴，总喜欢竖着长耳朵一边听着主人说话一边用尾巴行走。
171,抱枕松鼠,普通,无,未发现组,0,97,99,96,96,89,90,567,你甚至无法找出它身体和尾巴的分界，它的整个身体似乎都是为了大大的尾巴而准备的。
172,小奥可,冰,无,未发现组,0,51,44,44,77,51,51,318,奥可曾经有过一段传奇的经历，他发现了一条从枫雪镇到达雪人谷的密道，但是没有人走过那里。
173,冰晶奥可,冰,无,未发现组,0,72,62,65,99,74,71,443,总是喜欢把身子藏在冰层下面，只露出一个冰晶的头顶，突然跳出来吓其他宠物。
174,雪绒奥可,冰,无,未发现组,0,92,85,82,118,92,90,559,冰雪总是缓缓的落在他的身上，跟他的体温一样冰凉，慢慢的融为一体，慢慢的消融在冰雪世界。
175,雪灵兽,冰,无,精灵组,0,54,43,45,78,51,49,320,白色的绒毛，蓝色的冰饰，灵动的眼神，没有人不爱慕他的容颜。
176,幻雪兽,冰,无,精灵组,0,73,62,67,104,69,69,444,温柔的他，那么的惹人怜爱，顺从的跟在你身后，偶尔也会有那么一点点的倔强，让你感到他的可爱。
177,饮雪狂兽,冰,无,精灵组,0,95,80,85,122,88,90,560,虽然很温顺，但是也有他坚强的一面，总是在困难的时候展现出他令人钦佩的魄力，是你无法忘记的爱宠。
178,科多,冰,无,未发现组,0,54,48,55,49,51,45,302,眼睛巨亮的家伙，但视力好吗，很多它的同伴都不认为它有好视力。
179,科多多,冰,无,未发现组,0,73,65,75,68,74,62,417,大大的嘴巴张开的时候能盖住它的身体，这个家伙的武器是什么你知道了吧。要小心哦。
180,科多索,冰,石,未发现组,0,95,85,95,88,95,82,540,背上的冰刀象征着它的生命力，要是生病了冰刀会融化。
181,呆桶企鹅,冰,无,未发现组,0,54,47,42,57,52,54,306,背上的桶好像很沉很沉的样子，但是谁也不知道里面到底装了什么。
182,呆呆企鹅,冰,无,未发现组,0,71,69,65,74,69,73,421,穿着可爱的圣诞衣服，但是明显不合身，一看就知道是抢得别人的。
183,钓鱼企鹅,冰,无,未发现组,0,88,92,85,95,88,92,540,手里的鱼竿只是一个摆设，他每次捕鱼都是自己跳到水里去。
184,意志紫灵,恶魔,无,未发现组,0,65,52,50,47,55,48,317,懒惰，莽撞，胆怯，纵然我到处都是缺点，但是强大的意志最终能让我成功。
185,镰刀卡布,石,水,未发现组,0,60,115,105,65,70,80,495,前爪是两个锋利的镰刀不说，连脸的两侧都是镰刀，拥有极其强的攻击力哦。
186,哈古利乌,龙,无,天空组,0,61,84,65,70,70,70,420,胸前和尾部的蓝宝石成为海盗们心目中的圣石，但是性格确实十分冷淡的家伙。
187,羽多,翼,无,未发现组,0,62,58,55,58,62,60,355,看起来十分憨厚，但行动起来动作极快，对洛克非常友好。
